"Path","Category","FieldID","Field","Participants","Items","Stability","ValueType","Units","ItemType","Strata","Sexed","Instances","Array","Coding","Notes","Link"
"Assessment centre > Procedural metrics > Process durations",152,3,"Verbal interview duration",501517,594418,"Complete","Integer","seconds","Data","Auxiliary","Unisex",4,1,,"Time taken for interview","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=3"
"Assessment centre > Procedural metrics > Process durations",152,4,"Biometrics duration",498082,598400,"Complete","Integer","seconds","Data","Auxiliary","Unisex",4,1,,"Time taken for participant to do the tests in the biometric station of the Assessment Centre visit.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4"
"Assessment centre > Procedural metrics > Process durations",152,5,"Sample collection duration",501192,603395,"Complete","Integer","seconds","Data","Auxiliary","Unisex",4,1,,"Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=5"
"Assessment centre > Procedural metrics > Process durations",152,6,"Conclusion duration",499124,601222,"Complete","Integer","seconds","Data","Auxiliary","Unisex",4,1,,"This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=6"
"Assessment centre > Physical measures > Bone-densitometry of heel",100018,19,"Heel ultrasound method",324682,324682,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100260,"Method used for the Ultrasound Bone Densitometry of heel","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=19"
"Assessment centre > Physical measures > Anthropometry > Body size measures",100010,21,"Weight method",500714,602146,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100261,"Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21"
"Assessment centre > Physical measures > Spirometry",100020,23,"Spirometry method",460208,523241,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100270,"Spirometry method","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23"
"Population characteristics > Baseline characteristics",100094,31,"Sex",502357,502357,"Complete","Categorical single","","Data","Primary","Unisex",1,1,9,"Sex of participant.  Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=31"
"Population characteristics > Baseline characteristics",100094,33,"Date of birth",502357,502357,"Complete","Date","","Data","Primary","Unisex",1,1,,"Date of birth (DOB) of participant.  Acquired from central registry, updated by participant.   This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (Field 52) and Year of Birth (Field 34) instead.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=33"
"Population characteristics > Baseline characteristics",100094,34,"Year of birth",502357,502357,"Complete","Integer","years","Data","Primary","Unisex",1,1,,"Year of birth of participant. Acquired from central registry, updated by participant.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=34"
