--- mean var skew kurtosis
1050 0.000 5.007 1.127 4.716
1070 -0.000 2.198 0.833 5.180
1080 0.000 2.011 2.144 9.380
1160 0.000 1.128 0.027 4.572
1309 0.000 1.968 1.109 5.428
1458 0.000 6.829 -0.327 2.919
1528 0.000 4.263 1.262 5.547
1737 -0.000 8.280 3.493 20.731
20015 -0.000 12.994 -0.086 4.817
20016 0.000 4.223 0.165 2.871
20022 0.000 0.425 -0.155 4.637
20023 -0.000 10745.761 1.417 6.760
20127 -0.000 10.132 0.547 2.479
20128 0.000 4.116 0.341 3.067
20150 -0.000 0.296 0.034 4.582
20151 -0.000 0.447 0.277 4.620
20153 -0.000 0.046 0.059 3.954
20154 -0.000 249.290 0.001 4.124
20156 -0.000 175.055 1.707 7.649
20157 -0.000 498.205 1.574 7.217
20159 0.000 21.102 -0.668 4.329
20195 -0.000 17.482 -0.456 4.155
20240 0.000 2.093 -0.336 4.079
20248 0.000 15.757 3.924 22.251
20256 -0.000 1.152 -0.062 3.823
20257 0.000 1.037 -0.093 4.046
20258 -0.000 0.738 0.568 4.628
21001 0.000 20.362 1.003 5.052
21002 0.000 186.511 0.910 4.831
2139 0.000 11.753 1.455 8.168
2149 -0.000 162.501 9.808 156.989
2217 0.000 274.450 -0.241 1.614
23099 -0.000 37.409 -0.132 3.253
23100 -0.000 77.960 0.986 5.007
23101 -0.000 38.001 0.505 4.317
23102 0.000 20.606 0.518 4.401
23105 0.000 678713.778 0.749 4.998
23106 -0.000 4221.647 0.120 4.012
23107 -0.000 976.019 0.033 3.871
23108 0.000 979.095 0.030 3.862
23109 -0.000 1333.514 0.382 4.111
23110 0.000 1440.430 0.382 3.886
23111 -0.000 28.231 0.150 3.760
23112 -0.000 2.164 1.360 6.826
23113 0.000 1.393 0.929 5.862
23114 0.000 1.225 0.934 5.896
23115 0.000 25.435 0.116 3.581
23116 -0.000 2.064 1.366 6.871
23117 -0.000 1.397 0.933 5.884
23118 0.000 1.228 0.935 5.887
23119 0.000 51.502 0.185 4.161
23120 -0.000 0.312 2.056 7.428
23121 0.000 0.187 0.543 4.914
23122 -0.000 0.166 0.541 4.909
23123 -0.000 52.490 0.215 3.974
23124 -0.000 0.382 1.634 7.759
23125 -0.000 0.213 0.535 4.595
23126 -0.000 0.189 0.534 4.598
23127 0.000 49.275 -0.298 3.459
23128 0.000 24.735 0.666 4.098
23129 -0.000 10.144 0.367 4.212
23130 -0.000 9.314 0.351 4.347
23400 0.000 0.711 0.388 3.656
23401 0.000 0.612 0.473 3.560
23402 -0.000 0.152 0.490 3.516
23403 -0.000 0.056 0.597 3.616
23404 0.000 0.463 0.414 3.539
23405 -0.000 0.167 0.450 3.655
23406 -0.000 0.075 0.705 4.104
23407 -0.000 0.299 1.146 5.062
23408 -0.000 0.208 1.138 5.025
23409 0.000 0.002 1.223 5.433
23410 -0.000 0.002 0.989 4.843
23411 -0.000 0.175 0.425 3.822
23412 -0.000 0.030 0.749 3.915
23413 0.000 0.017 0.432 3.549
23414 0.000 0.073 0.610 4.064
23415 -0.000 0.364 0.367 3.648
23416 0.000 0.019 0.567 3.597
23417 -0.000 0.091 0.466 3.647
23418 0.000 0.046 0.659 3.979
23419 0.000 0.060 0.440 3.627
23420 0.000 0.011 0.685 3.764
23421 -0.000 0.012 0.376 3.576
23422 0.000 0.004 0.810 4.497
23423 0.000 2.337 0.522 3.803
23424 -0.000 0.676 0.880 4.267
23425 0.000 0.313 0.465 3.636
23426 0.000 0.289 0.652 4.123
23427 0.000 0.000 0.429 4.175
23428 0.000 0.000 0.670 3.780
23429 -0.000 0.000 0.545 3.672
23430 -0.000 0.000 0.462 4.148
23431 -0.000 1.324 0.028 2.984
23432 -0.000 0.007 -0.535 3.579
23433 -0.000 0.032 0.736 3.844
23434 0.000 0.124 0.487 4.058
23435 -0.000 0.042 0.665 3.578
23436 0.000 0.129 0.431 3.983
23437 0.000 0.107 0.463 3.985
23438 -0.000 0.004 0.388 3.792
23440 -0.000 0.042 0.560 4.128
23441 -0.000 0.024 0.603 3.628
23442 0.000 5.233 0.849 4.535
23443 -0.000 0.005 0.109 3.860
23444 -0.000 0.041 1.083 5.423
23445 0.000 0.400 0.517 3.891
23446 0.000 0.551 0.537 3.936
23447 0.000 0.621 1.107 5.132
23448 0.000 0.822 1.049 5.135
23449 0.000 0.408 0.551 3.933
23450 -0.000 0.006 1.135 6.008
23451 -0.000 2.078 1.032 5.477
23452 0.000 11.736 -0.641 3.686
23453 0.000 12.550 -0.600 3.675
23454 -0.000 6.175 0.394 3.268
23455 -0.000 3.475 0.495 4.150
23456 -0.000 10.066 -0.223 3.382
23457 0.000 0.390 0.940 5.269
23458 0.000 0.106 0.105 3.144
23459 -0.000 13.803 1.619 7.918
23460 -0.000 0.005 0.533 3.368
23461 0.000 0.006 0.166 3.656
23462 0.000 0.003 0.803 5.002
23464 -0.000 0.006 1.081 5.258
23466 0.000 0.001 1.140 5.610
23467 -0.000 0.002 0.859 4.613
23469 0.000 0.000 0.833 4.484
23473 -0.000 0.000 0.543 4.006
23480 -0.000 0.012 0.536 3.882
23481 -0.000 0.000 1.338 5.538
23482 0.000 0.037 1.376 5.742
23483 0.000 0.001 1.302 5.409
23484 0.000 0.002 1.145 4.867
23485 0.000 0.001 1.089 4.668
23486 -0.000 0.000 1.206 5.083
23487 -0.000 0.015 1.493 6.303
23488 0.000 0.000 1.050 4.743
23489 -0.000 0.016 1.082 4.819
23490 -0.000 0.001 1.007 4.593
23491 -0.000 0.001 0.748 3.829
23492 0.000 0.000 0.624 3.611
23493 0.000 0.000 0.931 4.345
23494 -0.000 0.006 1.227 5.268
23495 0.000 0.000 0.924 4.300
23496 -0.000 0.028 0.913 4.306
23497 -0.000 0.001 0.847 4.140
23498 0.000 0.002 0.674 3.703
23499 0.000 0.000 0.592 3.592
23500 -0.000 0.001 0.806 4.010
23501 0.000 0.008 1.092 4.878
23502 0.000 0.000 0.617 3.652
23503 -0.000 0.038 0.653 3.721
23504 -0.000 0.002 0.587 3.619
23505 0.000 0.004 0.529 3.560
23506 0.000 0.001 0.454 3.506
23507 -0.000 0.001 0.587 3.619
23508 0.000 0.012 0.902 4.302
23509 -0.000 0.000 0.722 3.922
23510 0.000 0.015 0.667 3.830
23511 -0.000 0.001 0.583 3.690
23512 -0.000 0.002 0.584 3.691
23513 -0.000 0.001 0.579 3.695
23514 0.000 0.000 0.574 3.670
23515 -0.000 0.003 0.916 4.495
23516 0.000 0.000 0.648 3.907
23517 -0.000 0.007 0.650 3.964
23518 0.000 0.001 0.712 4.211
23519 -0.000 0.002 0.531 3.668
23520 0.000 0.001 0.489 3.577
23521 -0.000 0.000 0.643 3.966
23522 -0.000 0.000 1.041 5.023
23523 -0.000 0.000 0.473 3.380
23524 0.000 0.068 0.428 3.587
23525 -0.000 0.004 0.484 3.702
23526 -0.000 0.037 0.373 3.481
23527 -0.000 0.020 0.375 3.482
23528 0.000 0.003 0.379 3.466
23529 0.000 0.001 1.098 5.106
23530 -0.000 0.000 0.586 3.709
23531 0.000 0.122 0.469 3.684
