--- target sibs
1050 152429 17107
1070 158651 17247
1080 130573 16291
1160 167062 17345
1309 161892 17305
1458 160327 17292
1528 155055 17217
1737 126112 16100
20015 167611 17347
20016 54501 6982
20022 95620 13232
20023 166769 17343
20127 136226 16615
20128 54496 6982
20150 126600 16207
20151 126616 16207
20153 98170 14324
20154 98157 14324
20156 56709 6605
20157 56725 6605
20159 51638 7382
20195 41652 7382
20240 39148 7007
20248 14797 3073
20256 134834 16622
20257 134826 16622
20258 134814 16622
21001 167549 17347
21002 167631 17347
2139 147861 16886
2149 137997 16613
2217 143822 16874
23099 165405 17337
23100 164971 17336
23101 165285 17337
23102 165303 17337
23105 165294 17337
23106 165283 17336
23107 165268 17337
23108 165261 17337
23109 165249 17337
23110 165279 17337
23111 165278 17337
23112 165193 17337
23113 165278 17337
23114 165280 17337
23115 165289 17337
23116 165292 17337
23117 165264 17337
23118 165257 17337
23119 165266 17337
23120 164979 17337
23121 165249 17337
23122 165239 17337
23123 165244 17337
23124 164915 17337
23125 165216 17337
23126 165214 17337
23127 165208 17337
23128 165168 17337
23129 165157 17337
23130 165140 17337
23400 40294 7417
23401 40293 7417
23402 40307 7417
23403 40304 7417
23404 40305 7417
23405 40300 7417
23406 40296 7417
23407 40287 7417
23408 40289 7417
23409 40287 7417
23410 40283 7417
23411 40299 7417
23412 40293 7417
23413 40293 7417
23414 40295 7417
23415 40301 7417
23416 40297 7417
23417 40305 7417
23418 40297 7417
23419 40295 7417
23420 40298 7417
23421 40300 7417
23422 40293 7417
23423 40301 7417
23424 40298 7417
23425 40293 7417
23426 40299 7417
23427 40291 7417
23428 40298 7417
23429 40300 7417
23430 40290 7417
23431 40308 7417
23432 40303 7417
23433 40297 7417
23434 40268 7413
23435 40270 7413
23436 40277 7413
23437 40269 7413
23438 40274 7413
23440 40292 7417
23441 40302 7417
23442 40265 7413
23443 40274 7413
23444 40258 7413
23445 40266 7413
23446 40269 7413
23447 40260 7413
23448 40266 7413
23449 40273 7413
23450 40257 7413
23451 40249 7413
23452 40276 7413
23453 40279 7413
23454 40270 7413
23455 40277 7413
23456 40276 7413
23457 40253 7413
23458 40274 7413
23459 40201 7413
23460 40283 7417
23461 40181 7399
23462 40258 7410
23464 40269 7416
23466 40283 7417
23467 40286 7416
23469 40233 7406
23473 40291 7416
23480 40301 7417
23481 40278 7417
23482 40265 7417
23483 40274 7417
23484 40279 7417
23485 40291 7417
23486 40285 7417
23487 40256 7417
23488 40282 7417
23489 40284 7417
23490 40286 7417
23491 40294 7417
23492 40301 7417
23493 40289 7417
23494 40280 7417
23495 40293 7417
23496 40294 7417
23497 40286 7417
23498 40296 7417
23499 40296 7417
23500 40302 7417
23501 40282 7417
23502 40299 7417
23503 40299 7417
23504 40300 7417
23505 40299 7417
23506 40291 7417
23507 40302 7417
23508 40304 7417
23509 40302 7417
23510 40290 7417
23511 40293 7417
23512 40295 7417
23513 40291 7417
23514 40302 7417
23515 40286 7417
23516 40297 7417
23517 40289 7417
23518 40296 7417
23519 40297 7417
23520 40298 7417
23521 40298 7417
23522 40285 7417
23523 40299 7417
23524 40297 7417
23525 40298 7417
23526 40301 7417
23527 40303 7417
23528 40299 7417
23529 40284 7417
23530 40294 7417
23531 40296 7417
23532 40296 7417
23533 40295 7417
23534 40300 7417
23535 40295 7417
23536 40271 7417
23537 40303 7417
23538 40299 7417
23539 40304 7417
23540 40298 7417
23541 40293 7417
23542 40296 7417
23543 40281 7417
23544 40298 7417
23545 40300 7417
23546 40298 7417
23547 40302 7417
23548 40310 7417
23549 40297 7417
23550 40276 7417
23551 40296 7417
23552 40294 7417
23553 40290 7417
23554 40295 7417
23555 40298 7417
23556 40284 7417
23557 40273 7417
23558 40292 7417
23559 40305 7417
23560 40304 7417
23561 40304 7417
23562 40299 7417
23563 40303 7417
23564 40279 7417
23565 40299 7417
23566 40291 7417
23567 40295 7417
23568 40298 7417
23569 40296 7417
