---             repRate       repErr     pearsonR   pearsonErr
1000               0.12         0.07         0.42         0.06
5000              0.335       0.0395        0.715       0.0257
10000              0.51       0.0279        0.838       0.0222
15000              0.62       0.0242        0.887       0.0155
20000              0.68       0.0177        0.914       0.0117
25000              0.75       0.0145         0.93       0.0083
30000               0.8       0.0158        0.946       0.0062
35000              0.82       0.0107        0.952       0.0074
40000             0.855       0.0078        0.962       0.0051
45000              0.87       0.0086        0.969       0.0038
50000             0.885       0.0068        0.973        0.004
